,HstackSize,NeedleSize,NeedleType,StartSam,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy
124,1000000,250000,sine,175834,0.5,b'FFF28DDCB45312E4',0.5db_10.0sigma_haystacks/2018-03-30_194617__21.txt,10.0,b'0000000000000000',0.9997948325947841
125,1000000,250000,sine,588719,0.5,b'FFEFFCA9FB0DBEE6',0.5db_10.0sigma_haystacks/2018-03-30_194617__210.txt,10.0,b'00000000000B2945',0.9997556605331317
126,1000000,250000,sine,339492,0.5,b'FFAE58D4DE9B2A3A',0.5db_10.0sigma_haystacks/2018-03-30_194617__211.txt,10.0,b'000000000007EBE1',0.9987540740681707
127,1000000,250000,sine,520601,0.5,b'FFF339873A32419F',0.5db_10.0sigma_haystacks/2018-03-30_194617__212.txt,10.0,b'000000000008FBDD',0.9998050646920058
128,1000000,250000,sine,633651,0.5,b'FFF1C31D2239333F',0.5db_10.0sigma_haystacks/2018-03-30_194617__213.txt,10.0,b'00000000000C6105',0.9997827478530084
129,1000000,250000,sine,6562,0.5,b'FFF366A69494EB0B',0.5db_10.0sigma_haystacks/2018-03-30_194617__214.txt,10.0,b'0000000000027054',0.9998077542009757
130,1000000,250000,sine,264182,0.5,b'FFF3971CED53BE7E',0.5db_10.0sigma_haystacks/2018-03-30_194617__215.txt,10.0,b'0000000000000000',0.9998106427786544
131,1000000,250000,sine,550082,0.5,b'FFF3AD00768CD909',0.5db_10.0sigma_haystacks/2018-03-30_194617__216.txt,10.0,b'000000000003D742',0.9998119474535544
132,1000000,250000,sine,742832,0.5,b'FFF2F862D843DCD2',0.5db_10.0sigma_haystacks/2018-03-30_194617__217.txt,10.0,b'000000000007C611',0.9998011819191244
133,1000000,250000,sine,195117,0.5,b'FFDD68C9943A92D0',0.5db_10.0sigma_haystacks/2018-03-30_194617__218.txt,10.0,b'0000000000063957',0.9994721881996418
134,1000000,250000,sine,349629,0.5,b'FFF44A3CD336F4FF',0.5db_10.0sigma_haystacks/2018-03-30_194617__219.txt,10.0,b'000000000008D297',0.9998213194369007
135,1000000,250000,sine,488861,0.5,b'FFB69DF94AD69B0B',0.5db_10.0sigma_haystacks/2018-03-30_194617__22.txt,10.0,b'00000000000791D3',0.9988802655815
136,1000000,250000,sine,580261,0.5,b'FFE821C0E5E56E24',0.5db_10.0sigma_haystacks/2018-03-30_194617__220.txt,10.0,b'000000000009BCFF',0.9996358009283506
137,1000000,250000,sine,538134,0.5,b'FFF1921A4E686ACF',0.5db_10.0sigma_haystacks/2018-03-30_194617__221.txt,10.0,b'0000000000094658',0.999779826567108
138,1000000,250000,sine,631843,0.5,b'FFF3FB3291F58C68',0.5db_10.0sigma_haystacks/2018-03-30_194617__222.txt,10.0,b'00000000000F2A5A',0.9998166082823075
139,1000000,250000,sine,479228,0.5,b'FFC2FF82FCCC071A',0.5db_10.0sigma_haystacks/2018-03-30_194617__223.txt,10.0,b'00000000000A865F',0.9990691847604439
140,1000000,250000,sine,254403,0.5,b'FFF233518B495016',0.5db_10.0sigma_haystacks/2018-03-30_194617__224.txt,10.0,b'0000000000000000',0.9997894357759709
141,1000000,250000,sine,182295,0.5,b'FFEBB29C27629A69',0.5db_10.0sigma_haystacks/2018-03-30_194617__225.txt,10.0,b'0000000000054995',0.9996902114138585
142,1000000,250000,sine,241698,0.5,b'FFB090D03B224B54',0.5db_10.0sigma_haystacks/2018-03-30_194617__226.txt,10.0,b'000000000006B6A5',0.9987879284264035
143,1000000,250000,sine,685953,0.5,b'FFC7130B19218AE0',0.5db_10.0sigma_haystacks/2018-03-30_194617__227.txt,10.0,b'00000000000BA927',0.9991313840956818
144,1000000,250000,sine,25080,0.5,b'FFAFD93D0BBE1353',0.5db_10.0sigma_haystacks/2018-03-30_194617__228.txt,10.0,b'000000000003E37C',0.9987769865072027
145,1000000,250000,sine,683799,0.5,b'FFC2035786149647',0.5db_10.0sigma_haystacks/2018-03-30_194617__229.txt,10.0,b'00000000000DF453',0.9990541542702708
146,1000000,250000,sine,411811,0.5,b'FFAA34342240C398',0.5db_10.0sigma_haystacks/2018-03-30_194617__23.txt,10.0,b'0000000000072570',0.9986908557204996
147,1000000,250000,sine,729661,0.5,b'FFB8949090EA40BD',0.5db_10.0sigma_haystacks/2018-03-30_194617__230.txt,10.0,b'00000000000D631B',0.9989102223343389
148,1000000,250000,sine,703029,0.5,b'FFC3201B839E0ECA',0.5db_10.0sigma_haystacks/2018-03-30_194617__231.txt,10.0,b'00000000000AED2F',0.999071127621953
149,1000000,250000,sine,554725,0.5,b'FFF1C0DA398C8241',0.5db_10.0sigma_haystacks/2018-03-30_194617__232.txt,10.0,b'0000000000000000',0.99978261306528
150,1000000,250000,sine,713120,0.5,b'FFD816DEBB844D98',0.5db_10.0sigma_haystacks/2018-03-30_194617__233.txt,10.0,b'00000000000CC1A4',0.9993910115986335
151,1000000,250000,sine,652998,0.5,b'FFF2EE2D83FEB665',0.5db_10.0sigma_haystacks/2018-03-30_194617__234.txt,10.0,b'0000000000000000',0.9998005734560093
152,1000000,250000,sine,478530,0.5,b'FFF3733EDD4F05A0',0.5db_10.0sigma_haystacks/2018-03-30_194617__235.txt,10.0,b'0000000000000000',0.9998085049131157
153,1000000,250000,sine,185193,0.5,b'FFF2CF41CAE171BC',0.5db_10.0sigma_haystacks/2018-03-30_194617__236.txt,10.0,b'00000000000085CE',0.9997987304331042
154,1000000,250000,sine,43562,0.5,b'FFEEA886EE1D8886',0.5db_10.0sigma_haystacks/2018-03-30_194617__237.txt,10.0,b'0000000000046715',0.9997353867930682
