,HstackSize,NeedleSize,NeedleType,StartSam,avg_energy,dSNR,entropy_hex,file_name,sigma,start_window,norm_entropy,geometry,sweep size (bytes)
78,1000000,250000,sine,547049,18.30112,-5.0,b'FF98FAE176148079',-5.0db_10.0sigma_haystacks/2018-03-30_202624__169.txt,10.0,b'000000000008593D',0.9984280395929819,0,250000
79,1000000,250000,sine,131225,18.293034,-5.0,b'FF99E39C052A9AB0',-5.0db_10.0sigma_haystacks/2018-03-30_202624__17.txt,10.0,b'00000000000200D0',0.9984419113072057,0,250000
80,1000000,250000,sine,485443,18.30069,-5.0,b'FF9CFF98FF0B85A7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__170.txt,10.0,b'000000000007688D',0.9984893559003877,0,250000
81,1000000,250000,sine,103478,18.24807,-5.0,b'FF94EC77D3A2CB4A',-5.0db_10.0sigma_haystacks/2018-03-30_202624__171.txt,10.0,b'0000000000019435',0.9983661453767453,0,250000
82,1000000,250000,sine,589190,18.227619,-5.0,b'FF947BBE1DDA0923',-5.0db_10.0sigma_haystacks/2018-03-30_202624__172.txt,10.0,b'000000000008FDA8',0.9983594264175296,0,250000
83,1000000,250000,sine,158199,18.32416,-5.0,b'FF9BD326A6B42988',-5.0db_10.0sigma_haystacks/2018-03-30_202624__173.txt,10.0,b'00000000000269C0',0.9984714478839157,0,250000
84,1000000,250000,sine,511967,18.303676,-5.0,b'FF938CEAF4DEACE2',-5.0db_10.0sigma_haystacks/2018-03-30_202624__174.txt,10.0,b'000000000007CF41',0.9983451913475345,0,250000
85,1000000,250000,sine,340329,18.270944,-5.0,b'FF9738A08FD124F5',-5.0db_10.0sigma_haystacks/2018-03-30_202624__175.txt,10.0,b'0000000000053533',0.9984012023922487,0,250000
86,1000000,250000,sine,539947,18.258747,-5.0,b'FFA0002E7B03A2F7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__176.txt,10.0,b'0000000000083DDF',0.9985351670720903,0,250000
87,1000000,250000,sine,462023,18.363029,-5.0,b'FF9B709A5E9F6817',-5.0db_10.0sigma_haystacks/2018-03-30_202624__177.txt,10.0,b'0000000000070D5F',0.9984655739668803,0,250000
88,1000000,250000,sine,374422,18.255237,-5.0,b'FF9C47BCAF4CF463',-5.0db_10.0sigma_haystacks/2018-03-30_202624__178.txt,10.0,b'000000000005B61F',0.9984783969551251,0,250000
89,1000000,250000,sine,487223,18.247761,-5.0,b'FFA014AD49059109',-5.0db_10.0sigma_haystacks/2018-03-30_202624__179.txt,10.0,b'0000000000076F55',0.9985363886890097,0,250000
90,1000000,250000,sine,568550,18.173591,-5.0,b'FF96EB4ADE82D579',-5.0db_10.0sigma_haystacks/2018-03-30_202624__18.txt,10.0,b'000000000008AD72',0.9983965928827375,0,250000
91,1000000,250000,sine,723304,18.31922,-5.0,b'FF8B6C5BFAF08AC3',-5.0db_10.0sigma_haystacks/2018-03-30_202624__180.txt,10.0,b'00000000000B0A43',0.99822118039714,0,250000
92,1000000,250000,sine,704065,18.322732,-5.0,b'FF9510DA9E0D5773',-5.0db_10.0sigma_haystacks/2018-03-30_202624__181.txt,10.0,b'00000000000ABEA9',0.9983683141454568,0,250000
93,1000000,250000,sine,702327,18.227862,-5.0,b'FF9741163AC0DC4C',-5.0db_10.0sigma_haystacks/2018-03-30_202624__182.txt,10.0,b'00000000000AB882',0.998401706626058,0,250000
94,1000000,250000,sine,523042,18.199403,-5.0,b'FF93570B68E26C94',-5.0db_10.0sigma_haystacks/2018-03-30_202624__183.txt,10.0,b'000000000007FB78',0.998341980252812,0,250000
95,1000000,250000,sine,613084,18.243184,-5.0,b'FFA25FA46C81BAC7',-5.0db_10.0sigma_haystacks/2018-03-30_202624__184.txt,10.0,b'0000000000095A70',0.9985713745522905,0,250000
96,1000000,250000,sine,519992,18.11663,-5.0,b'FF93E4318402D8EE',-5.0db_10.0sigma_haystacks/2018-03-30_202624__185.txt,10.0,b'000000000007EFBD',0.9983503933799612,0,250000
97,1000000,250000,sine,437780,18.210515,-5.0,b'FF995546843E7F33',-5.0db_10.0sigma_haystacks/2018-03-30_202624__186.txt,10.0,b'000000000006AF67',0.9984334275397888,0,250000
98,1000000,250000,sine,392017,18.235298,-5.0,b'FF96C0FB2EB668C1',-5.0db_10.0sigma_haystacks/2018-03-30_202624__187.txt,10.0,b'000000000005FBA9',0.9983940709341482,0,250000
99,1000000,250000,sine,155230,18.310352,-5.0,b'FF94C18A9750E45A',-5.0db_10.0sigma_haystacks/2018-03-30_202624__188.txt,10.0,b'0000000000025EC7',0.9983635867459416,0,250000
